2025-07-15 11:09:11 | WARNING | PID:2500 | Attempt 1: Worker not found in RabbitMQ consumers
2025-07-15 11:09:13 | WARNING | PID:2500 | No open connection/channel: connecting...
2025-07-15 11:09:13 | INFO | PID:2500 | Successfully connected on attempt 1
2025-07-15 11:09:13 | INFO | PID:2500 | Consumer registered on queue: article-content-request-queue
2025-07-15 11:09:13 | INFO | PID:2500 | Starting consuming on article-content-request-queue
2025-07-15 11:09:15 | WARNING | PID:2500 | Attempt 2: Worker not found in RabbitMQ consumers
2025-07-15 11:09:19 | INFO | PID:2500 | Worker url_rewriter_content_request_worker_2500_1752557948 verified in RabbitMQ consumers
2025-07-15 11:09:36 | INFO | PID:2500 | Processing message from queue: article-content-request-queue
2025-07-15 11:44:33 | INFO | PID:25240 | Attempting to verify queue 'article-content-request-queue'
2025-07-15 11:44:33 | INFO | PID:25240 | RabbitMQ Host: localhost, Port: 15672
2025-07-15 11:44:34 | INFO | PID:25240 | Successfully created channel
2025-07-15 11:44:34 | INFO | PID:25240 | Attempting AMQP check for queue 'article-content-request-queue'
2025-07-15 11:44:34 | INFO | PID:25240 | Queue 'article-content-request-queue' exists (verified via AMQP)
2025-07-15 11:44:37 | INFO | PID:24792 | Starting worker url_rewriter_content_request_worker for queue article-content-request-queue
2025-07-15 11:44:37 | INFO | PID:24792 | Created new channel
2025-07-15 11:44:37 | INFO | PID:24792 | Declared queue: article-content-request-queue
2025-07-15 11:44:37 | INFO | PID:24792 | Available workers: ['testworker', 'url_rewriter_content_request_worker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-07-15 11:44:37 | INFO | PID:24792 | Found worker class: UrlRewriterParallelWorker
